task_id,task_name,assigned_to,department,priority,status,created_date,due_date,estimated_hours,actual_hours,tags,days_to_deadline,task_month,task_weekday,is_overdue
41,Analyze user activity data,Eve,UI/UX,Medium,In Progress,2025-06-22,2025-07-07,7,,"api, optimization, deployment",15,6,Sunday,1
42,Design login page,Bob,UI/UX,Medium,Pending,2025-08-10,2025-08-17,4,,"dashboard, feedback",7,8,Sunday,1
43,Optimize database queries,Carol,Frontend,Medium,Pending,2025-05-23,2025-06-01,13,,"testing, api",9,5,Friday,1
44,Setup project database,Frank,Data,Medium,Pending,2025-07-22,2025-08-10,10,,setup,19,7,Tuesday,1
45,Implement search functionality,Hannah,Mobile,Medium,Pending,2025-09-26,2025-10-11,16,,feedback,15,9,Friday,1
46,Collect user feedback,Carol,Data,Low,In Progress,2025-09-27,2025-10-10,11,,testing,13,9,Saturday,1
47,Setup CI/CD pipeline,Bob,Data,Low,In Progress,2025-06-12,2025-06-13,13,,dashboard,1,6,Thursday,1
48,Collect user feedback,Eve,UI/UX,Low,In Progress,2025-09-13,2025-09-28,11,,"testing, feedback",15,9,Saturday,1
49,Create marketing landing page,Eve,Frontend,High,Pending,2025-07-11,2025-07-23,12,,"integration, api",12,7,Friday,1
50,Setup project database,David,UI/UX,Low,Completed,2025-07-20,2025-07-28,2,1.0,"alert, backend",8,7,Sunday,0
51,Conduct code review,Alice,UI/UX,Low,Pending,2025-04-25,2025-05-08,8,,frontend,13,4,Friday,1
52,Prepare deployment scripts,Hannah,QA,Low,In Progress,2025-10-12,2025-10-20,14,,"deployment, api",8,10,Sunday,1
53,Improve page load performance,Frank,Data,High,Completed,2025-06-27,2025-07-04,4,3.0,"setup, api, testing",7,6,Friday,0
54,Write unit tests for backend,Eve,Frontend,Medium,Pending,2025-05-17,2025-05-30,4,,deployment,13,5,Saturday,1
55,Create marketing landing page,Bob,Mobile,Low,In Progress,2025-08-25,2025-09-08,3,,"feedback, backend, testing",14,8,Monday,1
56,Enhance security for API,Frank,QA,Medium,In Progress,2025-07-07,2025-07-12,5,,"alert, optimization",5,7,Monday,1
57,Design login page,Frank,Backend,High,In Progress,2025-06-11,2025-06-12,6,,"dashboard, deployment, frontend",1,6,Wednesday,1
58,Conduct code review,Hannah,Backend,Medium,Pending,2025-09-18,2025-10-01,11,,dashboard,13,9,Thursday,1
59,Implement user authentication API,Alice,Frontend,Medium,In Progress,2025-07-29,2025-08-09,10,,"frontend, backend",11,7,Tuesday,1
60,Fix bug in login module,David,Data,Medium,In Progress,2025-07-19,2025-08-04,8,,testing,16,7,Saturday,1
61,Enhance security for API,Grace,Data,Medium,Pending,2025-05-05,2025-05-22,5,,payment,17,5,Monday,1
62,Conduct code review,Hannah,DevOps,High,Pending,2025-07-20,2025-07-21,2,,"design, api, integration",1,7,Sunday,1
63,Create marketing landing page,Eve,QA,Medium,In Progress,2025-09-02,2025-09-09,1,,"setup, integration, frontend",7,9,Tuesday,1
64,Improve page load performance,Eve,QA,Low,In Progress,2025-05-29,2025-06-05,14,,"optimization, deployment, testing",7,5,Thursday,1
65,Design login page,Frank,UI/UX,Medium,Pending,2025-08-10,2025-08-13,13,,api,3,8,Sunday,1
66,Analyze user activity data,Carol,Data,Medium,In Progress,2025-07-01,2025-07-04,12,,"deployment, design, backend",3,7,Tuesday,1
67,Setup project database,Alice,DevOps,Medium,Pending,2025-07-15,2025-07-24,5,,api,9,7,Tuesday,1
68,Optimize database queries,Bob,DevOps,Medium,In Progress,2025-06-19,2025-06-23,11,,frontend,4,6,Thursday,1
69,Setup CI/CD pipeline,Frank,QA,Medium,Completed,2025-09-20,2025-09-29,9,8.0,"deployment, design",9,9,Saturday,0
70,Design login page,Bob,Frontend,Low,In Progress,2025-07-04,2025-07-19,3,,setup,15,7,Friday,1
71,Improve page load performance,Frank,DevOps,Medium,In Progress,2025-08-25,2025-08-31,11,,"testing, design",6,8,Monday,1
72,Optimize database queries,Bob,UI/UX,High,In Progress,2025-07-24,2025-08-05,5,,"backend, integration",12,7,Thursday,1
73,Optimize database queries,Eve,Mobile,Low,In Progress,2025-06-18,2025-06-22,8,,design,4,6,Wednesday,1
74,Integrate payment gateway,Eve,Backend,High,In Progress,2025-08-08,2025-08-17,16,,integration,9,8,Friday,1
75,Integrate payment gateway,Carol,Mobile,Medium,Pending,2025-04-17,2025-04-24,5,,"dashboard, payment, testing",7,4,Thursday,1
76,Implement user authentication API,Alice,Data,Medium,In Progress,2025-05-13,2025-05-16,13,,"design, db",3,5,Tuesday,1
77,Design login page,Eve,Mobile,High,Pending,2025-06-10,2025-06-21,4,,"db, testing",11,6,Tuesday,1
78,Update mobile app UI,David,Mobile,Medium,Completed,2025-07-06,2025-07-10,16,11.0,"backend, integration",4,7,Sunday,0
79,Optimize database queries,Alice,Data,Medium,Pending,2025-05-23,2025-05-25,14,,payment,2,5,Friday,1
80,Fix bug in login module,David,UI/UX,Medium,Completed,2025-05-28,2025-06-09,7,5.0,"deployment, integration, payment",12,5,Wednesday,0
81,Implement user authentication API,Bob,Frontend,Low,Pending,2025-05-11,2025-05-15,2,,db,4,5,Sunday,1
82,Setup project database,Grace,Frontend,High,Pending,2025-09-11,2025-09-19,14,,alert,8,9,Thursday,1
83,Prepare deployment scripts,Alice,UI/UX,Low,Completed,2025-09-18,2025-09-29,4,1.0,"dashboard, api",11,9,Thursday,0
84,Deploy application to staging,Alice,Backend,High,Pending,2025-04-24,2025-04-25,5,,"payment, alert, backend",1,4,Thursday,1
85,Develop notification system,Frank,QA,Medium,Pending,2025-10-01,2025-10-06,8,,setup,5,10,Wednesday,1
86,Update mobile app UI,Alice,Mobile,Medium,In Progress,2025-09-13,2025-10-02,1,,"feedback, setup",19,9,Saturday,1
87,Design login page,Grace,Data,Low,In Progress,2025-07-25,2025-07-28,12,,"setup, integration",3,7,Friday,1
88,Setup CI/CD pipeline,Bob,Backend,Medium,In Progress,2025-08-20,2025-08-22,1,,"feedback, db, design",2,8,Wednesday,1
89,Fix bug in login module,Grace,UI/UX,High,In Progress,2025-09-02,2025-09-08,7,,"backend, deployment, integration",6,9,Tuesday,1
90,Design login page,David,DevOps,Low,In Progress,2025-09-26,2025-10-02,10,,"optimization, api",6,9,Friday,1
91,Design login page,Frank,QA,High,Pending,2025-08-27,2025-08-28,11,,payment,1,8,Wednesday,1
92,Conduct code review,Hannah,QA,High,In Progress,2025-06-25,2025-07-03,14,,api,8,6,Wednesday,1
93,Write unit tests for backend,David,Backend,Low,Pending,2025-05-20,2025-06-09,16,,backend,20,5,Tuesday,1
94,Implement user authentication API,Frank,Mobile,Low,In Progress,2025-08-08,2025-08-10,6,,"design, feedback",2,8,Friday,1
95,Optimize database queries,Hannah,Mobile,Low,Completed,2025-08-07,2025-08-16,14,12.0,"db, alert, testing",9,8,Thursday,0
96,Create dashboard UI,Alice,Backend,Medium,In Progress,2025-08-17,2025-08-22,14,,"setup, frontend, optimization",5,8,Sunday,1
97,Improve page load performance,Carol,Data,Medium,In Progress,2025-06-28,2025-07-12,2,,backend,14,6,Saturday,1
98,Update mobile app UI,David,Data,Low,Pending,2025-05-13,2025-05-14,6,,"payment, integration, optimization",1,5,Tuesday,1
99,Create marketing landing page,Eve,Backend,High,Pending,2025-08-28,2025-09-11,14,,"setup, testing",14,8,Thursday,1
100,Improve page load performance,Alice,Data,Medium,Pending,2025-09-08,2025-09-17,10,,"db, payment, integration",9,9,Monday,1
101,Deploy application to staging,Grace,DevOps,Medium,Pending,2025-09-14,2025-10-02,5,,"dashboard, testing, backend",18,9,Sunday,1
102,Enhance security for API,Frank,Backend,High,Completed,2025-07-23,2025-08-12,9,9.0,"optimization, feedback",20,7,Wednesday,0
103,Conduct code review,Eve,QA,Low,In Progress,2025-09-26,2025-10-06,9,,"alert, db",10,9,Friday,1
104,Enhance security for API,Eve,Data,Medium,Completed,2025-10-02,2025-10-15,7,4.0,"integration, payment, api",13,10,Thursday,0
105,Write unit tests for backend,David,Frontend,Low,Completed,2025-04-19,2025-04-21,3,2.0,design,2,4,Saturday,0
106,Deploy application to staging,Frank,QA,Medium,Completed,2025-10-14,2025-10-25,6,5.0,"design, payment, feedback",11,10,Tuesday,0
107,Conduct code review,David,DevOps,High,In Progress,2025-05-23,2025-05-31,6,,"db, alert, frontend",8,5,Friday,1
108,Conduct code review,Grace,Mobile,Medium,In Progress,2025-05-23,2025-06-01,10,,"api, frontend",9,5,Friday,1
109,Analyze user activity data,David,Mobile,Medium,In Progress,2025-07-23,2025-08-12,2,,feedback,20,7,Wednesday,1
110,Analyze user activity data,Frank,Data,High,In Progress,2025-09-03,2025-09-14,1,,frontend,11,9,Wednesday,1
111,Improve page load performance,Carol,QA,Medium,Pending,2025-07-31,2025-08-01,16,,"api, design, alert",1,7,Thursday,1
112,Design login page,Alice,Data,Low,Pending,2025-10-01,2025-10-22,5,,frontend,21,10,Wednesday,1
113,Update mobile app UI,Grace,UI/UX,High,Pending,2025-09-26,2025-09-27,1,,"alert, frontend, api",1,9,Friday,1
114,Improve page load performance,Alice,Frontend,High,Pending,2025-09-12,2025-09-17,5,,"setup, frontend, alert",5,9,Friday,1
115,Integrate payment gateway,Hannah,Frontend,High,In Progress,2025-06-15,2025-06-16,4,,"dashboard, testing",1,6,Sunday,1
116,Setup project database,Hannah,Frontend,High,Completed,2025-08-22,2025-08-24,6,2.0,payment,2,8,Friday,0
117,Design login page,Hannah,UI/UX,Medium,In Progress,2025-06-29,2025-07-19,15,,"feedback, setup",20,6,Sunday,1
118,Prepare deployment scripts,David,UI/UX,Medium,Pending,2025-07-10,2025-07-15,14,,"alert, feedback, dashboard",5,7,Thursday,1
119,Collect user feedback,David,Frontend,High,Pending,2025-04-26,2025-05-05,16,,"feedback, testing, optimization",9,4,Saturday,1
120,Implement search functionality,David,UI/UX,Low,Completed,2025-04-30,2025-05-20,14,5.0,feedback,20,4,Wednesday,0
121,Integrate payment gateway,Eve,Backend,Medium,Completed,2025-09-05,2025-09-15,13,1.0,api,10,9,Friday,0
122,Deploy application to staging,Grace,Frontend,High,In Progress,2025-05-08,2025-05-12,4,,"frontend, integration, backend",4,5,Thursday,1
123,Integrate payment gateway,Frank,UI/UX,High,Completed,2025-08-11,2025-08-31,9,8.0,testing,20,8,Monday,0
124,Analyze user activity data,Bob,Data,Low,Completed,2025-06-29,2025-07-08,5,4.0,frontend,9,6,Sunday,0
125,Improve page load performance,Alice,Backend,Medium,In Progress,2025-07-26,2025-08-01,3,,payment,6,7,Saturday,1
126,Conduct code review,David,QA,High,Pending,2025-07-16,2025-07-29,16,,"db, payment",13,7,Wednesday,1
127,Collect user feedback,David,Mobile,Medium,Pending,2025-09-07,2025-09-16,5,,"db, optimization, api",9,9,Sunday,1
128,Implement user authentication API,Grace,Data,High,In Progress,2025-08-12,2025-08-31,12,,frontend,19,8,Tuesday,1
129,Integrate payment gateway,Eve,DevOps,Medium,In Progress,2025-07-17,2025-07-23,2,,alert,6,7,Thursday,1
130,Integrate payment gateway,Frank,QA,Medium,Pending,2025-08-20,2025-08-29,10,,integration,9,8,Wednesday,1
131,Collect user feedback,Bob,QA,High,Pending,2025-08-01,2025-08-05,5,,"dashboard, backend, design",4,8,Friday,1
132,Optimize database queries,Frank,Backend,Medium,Pending,2025-04-21,2025-04-29,12,,backend,8,4,Monday,1
133,Design login page,Hannah,DevOps,Medium,Completed,2025-06-16,2025-06-27,3,2.0,optimization,11,6,Monday,0
134,Update mobile app UI,Frank,UI/UX,Medium,In Progress,2025-05-17,2025-05-29,16,,"api, payment, db",12,5,Saturday,1
135,Deploy application to staging,Carol,Data,High,In Progress,2025-07-10,2025-07-22,16,,"dashboard, deployment",12,7,Thursday,1
136,Update mobile app UI,David,Mobile,Medium,Pending,2025-06-28,2025-07-04,1,,"feedback, db, integration",6,6,Saturday,1
137,Create marketing landing page,Bob,Backend,High,Pending,2025-08-07,2025-08-08,10,,"db, dashboard, alert",1,8,Thursday,1
138,Setup CI/CD pipeline,Hannah,DevOps,Medium,Pending,2025-08-27,2025-08-29,14,,"optimization, feedback, db",2,8,Wednesday,1
139,Develop notification system,Grace,DevOps,Medium,In Progress,2025-06-01,2025-06-02,5,,"dashboard, integration",1,6,Sunday,1
140,Design login page,Frank,Frontend,High,Pending,2025-04-21,2025-05-06,1,,"frontend, payment, deployment",15,4,Monday,1
141,Setup CI/CD pipeline,Alice,Mobile,High,In Progress,2025-09-08,2025-09-22,13,,backend,14,9,Monday,1
142,Analyze user activity data,Grace,Mobile,Medium,In Progress,2025-05-01,2025-05-06,16,,"deployment, payment",5,5,Thursday,1
143,Implement search functionality,Grace,DevOps,Low,Pending,2025-04-28,2025-05-17,4,,"testing, feedback",19,4,Monday,1
144,Collect user feedback,Grace,Frontend,Medium,In Progress,2025-08-16,2025-08-26,9,,"payment, testing, dashboard",10,8,Saturday,1
145,Implement search functionality,Bob,Data,Low,Pending,2025-09-12,2025-09-16,16,,"optimization, integration",4,9,Friday,1
146,Update mobile app UI,Eve,Frontend,High,Pending,2025-09-18,2025-09-28,2,,"api, deployment",10,9,Thursday,1
147,Conduct code review,Bob,Data,High,Pending,2025-04-19,2025-04-26,10,,"backend, db, setup",7,4,Saturday,1
148,Update mobile app UI,Alice,Data,Medium,In Progress,2025-09-29,2025-10-13,2,,"testing, optimization, payment",14,9,Monday,1
149,Design login page,Hannah,Frontend,High,Completed,2025-07-25,2025-07-28,14,9.0,deployment,3,7,Friday,0
150,Optimize database queries,Frank,Mobile,Medium,In Progress,2025-05-25,2025-06-01,7,,"setup, frontend",7,5,Sunday,1
151,Analyze user activity data,Alice,Data,High,Pending,2025-05-19,2025-06-08,13,,"backend, payment, api",20,5,Monday,1
152,Setup project database,Carol,DevOps,High,Pending,2025-06-06,2025-06-17,7,,"frontend, integration",11,6,Friday,1
153,Develop notification system,Alice,Backend,Low,Pending,2025-04-27,2025-05-14,14,,"integration, backend",17,4,Sunday,1
154,Implement search functionality,Alice,Frontend,High,Pending,2025-09-20,2025-10-09,2,,"testing, db, backend",19,9,Saturday,1
155,Analyze user activity data,Alice,Mobile,Low,Pending,2025-04-23,2025-05-04,5,,setup,11,4,Wednesday,1
156,Deploy application to staging,Bob,QA,Low,Completed,2025-09-20,2025-10-02,6,1.0,"api, feedback, alert",12,9,Saturday,0
157,Develop notification system,Grace,QA,Medium,In Progress,2025-05-31,2025-06-21,3,,db,21,5,Saturday,1
158,Create marketing landing page,Eve,QA,Low,Completed,2025-08-21,2025-08-26,14,12.0,"api, payment, setup",5,8,Thursday,0
159,Fix bug in login module,Bob,Mobile,Medium,In Progress,2025-08-21,2025-09-11,2,,"dashboard, integration",21,8,Thursday,1
160,Improve page load performance,Bob,Mobile,High,In Progress,2025-05-13,2025-06-02,12,,"feedback, payment",20,5,Tuesday,1
161,Write unit tests for backend,Frank,Backend,Medium,Completed,2025-08-09,2025-08-20,6,4.0,"dashboard, testing",11,8,Saturday,0
162,Design login page,Frank,Frontend,Medium,In Progress,2025-08-29,2025-09-08,16,,dashboard,10,8,Friday,1
163,Create marketing landing page,Carol,DevOps,High,In Progress,2025-04-18,2025-04-24,7,,"integration, frontend, design",6,4,Friday,1
164,Improve page load performance,David,Backend,High,Completed,2025-05-23,2025-06-03,9,6.0,backend,11,5,Friday,0
165,Conduct code review,Eve,Backend,Low,Pending,2025-10-04,2025-10-11,5,,payment,7,10,Saturday,1
166,Integrate payment gateway,Grace,Data,High,Pending,2025-07-08,2025-07-23,9,,payment,15,7,Tuesday,1
167,Fix bug in login module,Alice,DevOps,High,In Progress,2025-08-12,2025-08-26,14,,backend,14,8,Tuesday,1
168,Implement search functionality,Bob,Data,Medium,Pending,2025-07-05,2025-07-11,13,,"api, optimization",6,7,Saturday,1
169,Setup CI/CD pipeline,Grace,Data,Medium,In Progress,2025-08-09,2025-08-11,15,,"api, optimization, payment",2,8,Saturday,1
170,Integrate payment gateway,Bob,Data,Low,In Progress,2025-07-07,2025-07-14,9,,"integration, db",7,7,Monday,1
171,Optimize database queries,Bob,DevOps,Medium,In Progress,2025-06-25,2025-07-04,2,,"testing, db",9,6,Wednesday,1
172,Implement user authentication API,David,QA,Low,In Progress,2025-05-27,2025-06-10,9,,testing,14,5,Tuesday,1
173,Prepare deployment scripts,Carol,Data,Medium,Completed,2025-05-06,2025-05-25,6,1.0,"api, integration",19,5,Tuesday,0
174,Implement user authentication API,Alice,DevOps,Medium,In Progress,2025-09-25,2025-10-12,12,,"api, design",17,9,Thursday,1
175,Deploy application to staging,Frank,Mobile,Medium,Completed,2025-04-28,2025-05-13,6,4.0,"setup, payment, api",15,4,Monday,0
176,Write unit tests for backend,Alice,QA,Medium,Completed,2025-10-03,2025-10-23,16,2.0,payment,20,10,Friday,0
177,Create marketing landing page,Frank,UI/UX,Medium,Pending,2025-08-28,2025-09-12,14,,"optimization, backend, api",15,8,Thursday,1
178,Setup CI/CD pipeline,Carol,UI/UX,Medium,In Progress,2025-08-20,2025-09-10,10,,"feedback, payment",21,8,Wednesday,1
179,Integrate payment gateway,Alice,Backend,Medium,In Progress,2025-07-07,2025-07-18,16,,"design, deployment",11,7,Monday,1
180,Analyze user activity data,David,DevOps,Medium,Pending,2025-07-23,2025-07-24,1,,"deployment, setup",1,7,Wednesday,1
181,Prepare deployment scripts,Frank,Backend,Low,Pending,2025-07-16,2025-07-23,5,,design,7,7,Wednesday,1
182,Prepare deployment scripts,Frank,Data,Medium,In Progress,2025-05-04,2025-05-05,5,,"integration, optimization",1,5,Sunday,1
183,Setup project database,Bob,Data,Medium,Pending,2025-10-10,2025-10-17,16,,db,7,10,Friday,1
184,Enhance security for API,David,Backend,Low,Pending,2025-05-27,2025-06-04,4,,"payment, backend, design",8,5,Tuesday,1
185,Prepare deployment scripts,Bob,DevOps,Medium,Completed,2025-06-01,2025-06-03,13,12.0,"dashboard, backend, alert",2,6,Sunday,0
186,Integrate payment gateway,Carol,UI/UX,High,Pending,2025-05-12,2025-05-31,15,,"dashboard, optimization",19,5,Monday,1
187,Fix bug in login module,Carol,UI/UX,Medium,Pending,2025-06-01,2025-06-11,7,,testing,10,6,Sunday,1
188,Update mobile app UI,Alice,Frontend,High,In Progress,2025-08-28,2025-09-08,1,,"frontend, backend, deployment",11,8,Thursday,1
189,Collect user feedback,Grace,DevOps,Low,Completed,2025-07-03,2025-07-14,16,15.0,"setup, integration, frontend",11,7,Thursday,0
190,Setup project database,David,DevOps,High,In Progress,2025-10-12,2025-10-27,16,,"payment, feedback, backend",15,10,Sunday,1
191,Collect user feedback,David,Backend,Medium,Pending,2025-09-07,2025-09-17,3,,"dashboard, feedback",10,9,Sunday,1
192,Analyze user activity data,Grace,QA,Low,Pending,2025-10-08,2025-10-09,7,,"setup, api",1,10,Wednesday,1
193,Implement search functionality,Frank,DevOps,Medium,Completed,2025-07-10,2025-07-31,9,7.0,alert,21,7,Thursday,0
194,Integrate payment gateway,Frank,Frontend,Medium,In Progress,2025-09-27,2025-10-10,16,,design,13,9,Saturday,1
195,Design login page,Carol,Frontend,High,Completed,2025-08-21,2025-09-09,14,3.0,"integration, alert",19,8,Thursday,0
196,Integrate payment gateway,Hannah,Mobile,Medium,Completed,2025-09-22,2025-10-09,3,2.0,"payment, dashboard",17,9,Monday,0
197,Implement search functionality,Frank,Frontend,Medium,In Progress,2025-05-08,2025-05-12,11,,"frontend, optimization, testing",4,5,Thursday,1
198,Deploy application to staging,Bob,Backend,Medium,In Progress,2025-04-20,2025-05-08,2,,"testing, db",18,4,Sunday,1
199,Prepare deployment scripts,Grace,DevOps,Medium,In Progress,2025-05-07,2025-05-27,7,,design,20,5,Wednesday,1
200,Develop notification system,Bob,Mobile,Medium,Pending,2025-06-28,2025-07-15,4,,"dashboard, frontend",17,6,Saturday,1
201,Prepare deployment scripts,Grace,QA,Medium,In Progress,2025-06-13,2025-06-21,5,,"frontend, payment, design",8,6,Friday,1
202,Collect user feedback,Grace,UI/UX,Medium,Completed,2025-06-02,2025-06-23,11,3.0,optimization,21,6,Monday,0
203,Implement user authentication API,Hannah,UI/UX,Medium,Pending,2025-09-23,2025-09-25,8,,"testing, alert",2,9,Tuesday,1
204,Optimize database queries,Bob,Data,Medium,In Progress,2025-06-19,2025-07-02,1,,"setup, backend, testing",13,6,Thursday,1
205,Conduct code review,Hannah,Mobile,Medium,In Progress,2025-08-31,2025-09-16,2,,backend,16,8,Sunday,1
206,Collect user feedback,Carol,Frontend,High,Pending,2025-07-13,2025-07-28,4,,"deployment, integration, setup",15,7,Sunday,1
207,Conduct code review,David,Mobile,Medium,In Progress,2025-07-02,2025-07-03,12,,"design, alert, db",1,7,Wednesday,1
208,Write unit tests for backend,Eve,Mobile,Medium,Pending,2025-06-19,2025-07-07,3,,alert,18,6,Thursday,1
209,Implement user authentication API,Alice,UI/UX,Medium,Pending,2025-08-28,2025-09-09,16,,testing,12,8,Thursday,1
210,Conduct code review,Grace,Data,Medium,Pending,2025-07-12,2025-07-17,8,,optimization,5,7,Saturday,1
211,Analyze user activity data,Eve,QA,Medium,In Progress,2025-05-26,2025-06-01,4,,"alert, dashboard",6,5,Monday,1
212,Setup CI/CD pipeline,Bob,Frontend,Medium,Pending,2025-10-13,2025-10-15,1,,"backend, api",2,10,Monday,1
213,Fix bug in login module,Frank,QA,Medium,Pending,2025-07-06,2025-07-21,14,,"db, setup, design",15,7,Sunday,1
214,Integrate payment gateway,David,Mobile,Medium,Pending,2025-06-01,2025-06-15,11,,"integration, dashboard, db",14,6,Sunday,1
215,Conduct code review,Carol,QA,Medium,In Progress,2025-07-09,2025-07-19,14,,"setup, deployment",10,7,Wednesday,1
216,Setup project database,Bob,UI/UX,Medium,Pending,2025-06-26,2025-07-09,5,,"backend, payment",13,6,Thursday,1
217,Create marketing landing page,Hannah,QA,Low,In Progress,2025-05-27,2025-06-15,16,,"optimization, integration",19,5,Tuesday,1
218,Create marketing landing page,Hannah,UI/UX,High,Pending,2025-09-25,2025-10-07,16,,payment,12,9,Thursday,1
219,Write unit tests for backend,Frank,UI/UX,Medium,In Progress,2025-06-28,2025-07-15,11,,"payment, api, alert",17,6,Saturday,1
220,Integrate payment gateway,Frank,Backend,High,Pending,2025-06-10,2025-06-14,11,,"setup, frontend, api",4,6,Tuesday,1
221,Enhance security for API,Alice,DevOps,High,Pending,2025-10-06,2025-10-24,9,,alert,18,10,Monday,1
222,Deploy application to staging,Frank,QA,High,Pending,2025-09-04,2025-09-24,4,,optimization,20,9,Thursday,1
223,Develop notification system,Hannah,DevOps,High,In Progress,2025-07-10,2025-07-18,4,,"design, db",8,7,Thursday,1
224,Implement search functionality,Hannah,Backend,Low,Pending,2025-06-02,2025-06-09,15,,backend,7,6,Monday,1
